none-STE、ternary_schedule、amend_loss、
---
1.58-bit Ternary Model、
This directory contains the training logs for our STE-free Ternary (1.58-bit) Model
---
（英語OpenWebText・10万歩）を開始します...
Step 0/32000 | CE Loss: 12.2871 | Trio Blend: 0.0%
Step 100/32000 | CE Loss: 8.5651 | Trio Blend: 0.0%
Step 200/32000 | CE Loss: 5.9627 | Trio Blend: 0.0%
Step 300/32000 | CE Loss: 5.4165 | Trio Blend: 0.0%
Step 400/32000 | CE Loss: 5.2959 | Trio Blend: 0.0%
Step 500/32000 | CE Loss: 4.6366 | Trio Blend: 0.0%
Step 600/32000 | CE Loss: 5.0238 | Trio Blend: 0.0%
Step 700/32000 | CE Loss: 4.3707 | Trio Blend: 0.0%
Step 800/32000 | CE Loss: 7.5176 | Trio Blend: 0.0%
Step 900/32000 | CE Loss: 4.5658 | Trio Blend: 0.0%
Step 1000/32000 | CE Loss: 4.1014 | Trio Blend: 0.0%
Step 1100/32000 | CE Loss: 4.3125 | Trio Blend: 0.0%
Step 1200/32000 | CE Loss: 5.5312 | Trio Blend: 0.0%
Step 1300/32000 | CE Loss: 5.2188 | Trio Blend: 0.0%
Step 1400/32000 | CE Loss: 4.1875 | Trio Blend: 0.0%
Step 1500/32000 | CE Loss: 3.2500 | Trio Blend: 0.0%
Step 1600/32000 | CE Loss: 2.9844 | Trio Blend: 0.0%
Step 1700/32000 | CE Loss: 3.2812 | Trio Blend: 0.0%
Step 1800/32000 | CE Loss: 2.8438 | Trio Blend: 0.0%
Step 1900/32000 | CE Loss: 2.9062 | Trio Blend: 0.0%
Step 2000/32000 | CE Loss: 3.2812 | Trio Blend: 0.0%
Step 2100/32000 | CE Loss: 4.1875 | Trio Blend: 0.0%
Step 2200/32000 | CE Loss: 3.2344 | Trio Blend: 0.0%
Step 2300/32000 | CE Loss: 3.4844 | Trio Blend: 0.0%
Step 2400/32000 | CE Loss: 3.2344 | Trio Blend: 0.0%
Step 2500/32000 | CE Loss: 4.3438 | Trio Blend: 0.0%
Step 2600/32000 | CE Loss: 3.0781 | Trio Blend: 0.0%
Step 2700/32000 | CE Loss: 3.6250 | Trio Blend: 0.0%
Step 2800/32000 | CE Loss: 3.2188 | Trio Blend: 0.0%
Step 2900/32000 | CE Loss: 2.7188 | Trio Blend: 0.0%
Step 3000/32000 | CE Loss: 2.9375 | Trio Blend: 0.0%
Step 3100/32000 | CE Loss: 5.3438 | Trio Blend: 0.0%
Step 3200/32000 | CE Loss: 3.7656 | Trio Blend: 0.0%
Step 3300/32000 | CE Loss: 2.7031 | Trio Blend: 0.0%
Step 3400/32000 | CE Loss: 2.6094 | Trio Blend: 0.0%
Step 3500/32000 | CE Loss: 4.0938 | Trio Blend: 0.0%
Step 3600/32000 | CE Loss: 3.0000 | Trio Blend: 0.0%
Step 3700/32000 | CE Loss: 3.0000 | Trio Blend: 0.0%
Step 3800/32000 | CE Loss: 3.0938 | Trio Blend: 0.0%
Step 3900/32000 | CE Loss: 2.7656 | Trio Blend: 0.0%
Step 4000/32000 | CE Loss: 2.8281 | Trio Blend: 0.0%
Step 4100/32000 | CE Loss: 2.7500 | Trio Blend: 0.0%
Step 4200/32000 | CE Loss: 2.8906 | Trio Blend: 0.0%
Step 4300/32000 | CE Loss: 3.1250 | Trio Blend: 0.0%
Step 4400/32000 | CE Loss: 2.6094 | Trio Blend: 0.0%
